****SETTIME(time, BEAT - 1)****
116,1
626,2
1184,3
1695,4
2252,5
2809,6
3343,7
3877,8
4435,9
4969,10
5526,11
6083,12
6617,13
7151,14
7732,15
8243,16
8823,17
9357,18
9891,19
10448,20
10983,21
11540,22
12051,23
12631,24
13165,25
13699,26
14233,27
14791,28
15348,29
15905,30
16416,31
16997,32
17507,33
18065,34
18622,35
19156,36
19713,37
20247,38
20805,39
21339,40
21873,41
22453,42
22987,43
23545,44
24079,45
24613,46
25170,47
25704,48
26238,49
26819,50
27329,51
27887,52
28444,53
29001,54
29535,55
30093,56
30603,57
31161,58
31718,59
32252,60
32833,61
33343,62
33901,63
34435,64
34969,65
35526,66
36083,67
36641,68
37175,69
37755,70
38266,71
38800,72
39334,73
39891,74
40449,75
40960,76
41540,77
42051,78
42631,79
43165,80
43699,81
44234,82
44814,83
45348,84
45882,85
46463,86
46973,87
47531,88
48065,89
48599,90
49179,91
49713,92
50294,93
50805,94
51385,95
51873,96
52453,97
52987,98
53545,99
54056,100
54613,101
55170,102
55704,103
56261,104
56796,105
57353,106
57910,107
58421,108
59025,109
59535,110
60093,111
60627,112
61161,113
61718,114
62252,115
62786,116
63367,117
63878,118
64435,119
64992,120
65573,121
66083,122
66618,123
67175,124
67755,125
68243,126
68823,127
69334,128
69892,129
70449,130
70983,131
71540,132
72051,133
72608,134
73166,135
73723,136
74234,137
74814,138
75325,139
75882,140
76463,141
76997,142
77508,143
78065,144
78645,145
79156,146
79714,147
80271,148
80782,149
81339,150
81896,151
82454,152
82964,153
83522,154
84079,155
84636,156
85194,157
85704,158
86262,159
86842,160
87353,161
87910,162
88444,163
89025,164
89512,165
90093,166
90604,167
91184,168
91718,169
92252,170
92810,171
93344,172
93924,173
94458,174
94992,175
95573,176
96084,177
96641,178
97175,179
97709,180
98243,181
98824,182
99358,183
99892,184
100426,185
100983,186
101540,187
102074,188
102655,189
103143,190
103723,191
104257,192
104814,193
105325,194
105906,195
106440,196
106997,197
107508,198
108088,199
108622,200
109203,201
109714,202
110271,203
110805,204
111362,205
111873,206
112431,207
112965,208
113522,209
114056,210
114613,211
115170,212
115705,213
116285,214
116819,215
117330,216
117910,217
118444,218
118979,219
119536,220
120093,221
120604,222
121184,223
121695,224
122253,225
122787,226
123344,227
123878,228
124435,229
124969,230
125527,231
126084,232
126641,233
127175,234
127732,235
128267,236
128801,237
129358,238
129915,239
130426,240
130983,241
131564,242
132075,243
132655,244
133143,245
133723,246
134257,247
134815,248
135325,249
135906,250
136440,251
136997,252
137531,253
138065,254
138623,255
139180,256
139691,257
140248,258
140805,259
141339,260
141873,261
142454,262
142965,263
143522,264
144103,265
144613,266
145147,267
145705,268
146262,269
146796,270
147330,271
147887,272
148445,273
149025,274
149513,275
150093,276
150604,277
151161,278
151695,279
152253,280
152833,281
153344,282
153925,283
154435,284
154993,285
155573,286
156061,287
156641,288
157175,289
157709,290
158243,291
158778,292
159335,293
159915,294
160473,295
160983,296
161541,297
162052,298
162609,299
163143,300
163700,301
164257,302
164792,303
165349,304
165883,305
166417,306
166974,307
167508,308
168066,309
168623,310
169203,311
169714,312
170295,313
170782,314
171363,315
171874,316
172431,317
172965,318
173522,319
174103,320
174614,321
175148,322
175705,323
176285,324
176819,325
177330,326
177888,327
178445,328
179002,329
179536,330
180093,331
180604,332
181185,333
181696,334
182253,335
182810,336
183367,337
183878,338
184436,339
184993,340
185550,341
186084,342
186642,343
187152,344
187710,345
188267,346
188778,347
189335,348
189892,349
190450,350
190984,351
191518,352
192075,353
192632,354
193166,355
193700,356
194258,357
194792,358
195326,359
195883,360
196440,361
196998,362
197532,363
198066,364
198623,365
199204,366
199714,367
200248,368
200782,369
201363,370
201874,371
202454,372
202988,373
203522,374
204056,375
204637,376
205171,377
205705,378
206262,379
206820,380
207330,381
207911,382
208422,383
208979,384
209536,385
210094,386
210628,387
211185,388
211696,389
212253,390
212810,391
213344,392
213879,393
214459,394
214993,395
215527,396
216061,397
